issue_id,date,area,issue_type,severity,status,resolution_days
C1060,2026-08-04,Singanallur,Traffic Congestion,Medium,Pending,
C1061,2026-08-04,Singanallur,Road Damage,Medium,Resolved,3
C1062,2026-08-04,Hopes College,Sewage Overflow,Low,Resolved,1
C1063,2026-08-04,Ramanathapuram,Water Supply,Low,Resolved,1
C1064,2026-08-05,Ramanathapuram,Traffic Congestion,Low,Resolved,2
C1065,2026-08-05,Ramanathapuram,Traffic Congestion,Medium,Pending,
C1066,2026-08-05,Ramanathapuram,Streetlights,Medium,Pending,
C1067,2026-08-06,Ramanathapuram,Water Supply,Medium,Resolved,3
C1068,2026-08-06,Singanallur,Streetlights,Medium,In Progress,
C1069,2026-08-06,Singanallur,Water Supply,High,Resolved,8
C1070,2026-08-06,Ukkadam,Traffic Congestion,Low,In Progress,
C1071,2026-08-07,Hopes College,Sewage Overflow,Medium,In Progress,
C1072,2026-08-07,Saibaba Colony,Water Supply,Low,In Progress,
C1073,2026-08-07,Peelamedu,Sewage Overflow,Low,In Progress,
C1074,2026-08-07,Saravanampatti,Sewage Overflow,Medium,In Progress,
C1075,2026-08-08,Hopes College,Water Supply,Low,In Progress,
C1076,2026-08-09,Gandhipuram,Streetlights,Low,In Progress,
C1077,2026-08-09,Singanallur,Waste Management,High,Pending,
C1078,2026-08-09,Gandhipuram,Water Supply,Medium,In Progress,
C1079,2026-08-09,Peelamedu,Waste Management,Low,In Progress,
C1080,2026-08-11,Singanallur,Traffic Congestion,Low,In Progress,
C1081,2026-08-11,Hopes College,Road Damage,Medium,Pending,
C1082,2026-08-11,Gandhipuram,Waste Management,Medium,In Progress,
C1083,2026-08-12,RS Puram,Traffic Congestion,Low,Resolved,1
C1084,2026-08-12,Peelamedu,Waste Management,Medium,Resolved,6
